Date,Mkt-PM,SMB,HML,daily_return
1/2/2019,0.22,0.59,1.11,
1/3/2019,-2.46,0.36,1.2,
1/4/2019,3.54,0.41,-0.7,-0.024756676
1/7/2019,0.93,1,-0.75,0.034335693
1/8/2019,1.00,0.53,-0.63,0.007010435
1/9/2019,0.55,0.46,0.1,0.009695296
1/10/2019,0.41,0.03,-0.46,0.004098026
1/11/2019,-0.02,0.12,0.22,0.004518445
1/14/2019,-0.61,-0.59,0.94,-0.000146343
1/15/2019,1.05,0,-0.88,-0.005257563
1/16/2019,0.27,0.04,0.92,0.010721712
1/17/2019,0.74,0.11,-0.24,0.002221967
1/18/2019,1.28,-0.36,0.12,0.007591453
1/22/2019,-1.54,-0.4,0.32,0.013183053
1/23/2019,0.14,-0.39,-0.13,
1/24/2019,0.22,0.44,-0.01,
1/25/2019,0.89,0.46,-0.35,0.002202894
1/28/2019,-0.81,-0.16,0.63,0.001375677
1/29/2019,-0.20,-0.01,0.17,0.00848872
1/30/2019,1.50,-0.15,-0.94,-0.007846861
1/31/2019,0.91,0.12,-1.08,-0.00145621
2/1/2019,0.13,-0.14,0.43,0.015549242
2/4/2019,0.71,0.49,-0.47,0.008597378
2/5/2019,0.42,-0.08,-0.6,0.000898635
2/6/2019,-0.23,-0.02,0.07,0.006776204
2/7/2019,-0.94,-0.14,0.4,0.004708482
2/8/2019,0.08,0.05,-0.69,-0.002224495
2/11/2019,0.13,0.66,0.23,-0.009357119
2/12/2019,1.35,0.02,-0.16,0.000676262
2/13/2019,0.27,0.07,0.07,0.000709042
2/14/2019,-0.22,0.52,-0.58,0.01289025
2/15/2019,1.12,0.25,0.47,0.003023977
2/19/2019,0.18,0.29,0.3,-0.002651624
2/20/2019,0.18,0.21,0.55,0.01087871
2/21/2019,-0.38,-0.07,-0.22,
2/22/2019,0.64,0.55,-1.47,
2/25/2019,0.14,-0.26,-0.18,0.001777132
2/26/2019,-0.17,-0.64,-0.33,-0.003526412
2/27/2019,0.08,0.2,-0.12,0.006411088
2/28/2019,-0.32,0.02,-0.24,0.001231796
3/1/2019,0.71,0.29,-0.4,-0.000790384
3/4/2019,-0.53,-0.4,0.37,-0.000544042
3/5/2019,-0.18,-0.31,-0.23,-0.002825547
3/6/2019,-0.85,-1.27,0.05,0.006895338
3/7/2019,-0.83,-0.07,-0.33,-0.0038806
3/8/2019,-0.23,0.04,-0.16,-0.001131477
3/11/2019,1.48,0.36,-0.53,-0.006524116
3/12/2019,0.24,-0.28,-0.09,-0.00812571
3/13/2019,0.67,-0.31,0.07,-0.002131739
3/14/2019,-0.11,-0.4,0.3,0.014666049
3/15/2019,0.47,-0.26,-0.25,0.002953329
3/18/2019,0.45,0.16,0.44,0.006949619
