DATE,sp500,daily_return
1/1/2019,3755.836709,0.000597164
1/2/2019,2510.03,0.000597164
1/3/2019,2447.89,-0.025068276
1/4/2019,2531.94,0.033759378
1/7/2019,2549.69,0.006985976
1/8/2019,2574.41,0.009648598
1/9/2019,2584.96,0.004089652
1/10/2019,2596.64,0.004508268
1/11/2019,2596.26,-0.000146354
1/14/2019,2582.61,-0.005271432
1/15/2019,2610.3,0.010664642
1/16/2019,2616.1,0.002219502
1/17/2019,2635.96,0.007562783
1/18/2019,2670.71,0.013096913
1/21/2019,3755.836709,0.000597164
1/22/2019,2632.9,0.000597164
1/23/2019,2638.7,0.002200471
1/24/2019,2642.33,0.001374732
1/25/2019,2664.76,0.008452894
1/28/2019,2643.85,-0.007877809
1/29/2019,2640,-0.001457271
1/30/2019,2681.05,0.015429592
1/31/2019,2704.1,0.008560631
2/1/2019,2706.53,0.000898232
2/4/2019,2724.87,0.006753349
2/5/2019,2737.7,0.004697431
2/6/2019,2731.61,-0.002226973
2/7/2019,2706.05,-0.009401172
2/8/2019,2707.88,0.000676034
2/11/2019,2709.8,0.000708791
2/12/2019,2744.73,0.012807878
2/13/2019,2753.03,0.003019414
2/14/2019,2745.73,-0.002655146
2/15/2019,2775.6,0.010819962
2/18/2019,3755.836709,0.000597164
2/19/2019,2779.76,0.000597164
2/20/2019,2784.7,0.001775555
2/21/2019,2774.88,-0.003532645
2/22/2019,2792.67,0.006390624
2/25/2019,2796.11,0.001231038
2/26/2019,2793.9,-0.000790696
2/27/2019,2792.38,-0.00054419
2/28/2019,2784.49,-0.002829546
3/1/2019,2803.69,0.006871674
3/4/2019,2792.81,-0.003888149
3/5/2019,2789.65,-0.001132118
3/6/2019,2771.45,-0.006545491
3/7/2019,2748.93,-0.008158904
3/8/2019,2743.07,-0.002134014
3/11/2019,2783.3,0.014559543
3/12/2019,2791.52,0.002948976
3/13/2019,2810.92,0.006925582
3/14/2019,2808.48,-0.00086842
3/15/2019,2822.48,0.004972519
3/18/2019,2832.94,0.003699111
3/19/2019,2832.57,-0.000130615
3/20/2019,2824.23,-0.002948666
3/21/2019,2854.88,0.01079405
3/22/2019,2800.71,-0.019156854
3/25/2019,2798.36,-0.000839425
3/26/2019,2818.46,0.007157105
3/27/2019,2805.37,-0.004655199
3/28/2019,2815.44,0.003583117
3/29/2019,2834.4,0.00671172
4/1/2019,2867.19,0.011502182
4/2/2019,2867.24,1.74E-05
4/3/2019,2873.4,0.002146103
4/4/2019,2879.39,0.002082469
4/5/2019,2892.74,0.004625684
4/8/2019,2895.77,0.001046902
4/9/2019,2878.2,-0.006085953
4/10/2019,2888.21,0.003471834
4/11/2019,2888.32,3.81E-05
4/12/2019,2907.41,0.006587632
4/15/2019,2905.58,-0.000629624
4/16/2019,2907.06,0.000509235
4/17/2019,2900.45,-0.002276364
4/18/2019,2905.03,0.00157782
4/19/2019,3755.836709,0.000597164
4/22/2019,2907.97,0.000597164
4/23/2019,2933.68,0.008802364
4/24/2019,2927.25,-0.002194192
4/25/2019,2926.17,-0.000369015
4/26/2019,2939.88,0.004674363
4/29/2019,2943.03,0.001070899
4/30/2019,2945.83,0.000950948
5/1/2019,2923.73,-0.007530413
5/2/2019,2917.52,-0.002126258
5/3/2019,2945.64,0.009592171
5/6/2019,2932.47,-0.00448104
5/7/2019,2884.05,-0.016649515
5/8/2019,2879.42,-0.001606671
5/9/2019,2870.72,-0.003026016
5/10/2019,2881.4,0.003713418
5/13/2019,2811.87,-0.024426545
5/14/2019,2834.41,0.00798406
5/15/2019,2850.96,0.005821977
5/16/2019,2876.32,0.00885592
5/17/2019,2859.53,-0.005854424
5/20/2019,2840.23,-0.006772241
5/21/2019,2864.36,0.008459905
5/22/2019,2856.27,-0.002828362
5/23/2019,2822.24,-0.011985682
5/24/2019,2826.06,0.00135262
5/27/2019,3755.836709,0.000597164
5/28/2019,2802.39,0.000597164
5/29/2019,2783.02,-0.006935956
5/30/2019,2788.86,0.002096241
5/31/2019,2752.06,-0.013283188
6/3/2019,2744.45,-0.002769032
6/4/2019,2803.27,0.021205902
6/5/2019,2826.15,0.008128769
6/6/2019,2843.49,0.00611681
6/7/2019,2873.34,0.010442945
6/10/2019,2886.73,0.004649257
6/11/2019,2885.72,-0.000349938
6/12/2019,2879.84,-0.002039698
6/13/2019,2891.64,0.004089078
6/14/2019,2886.98,-0.001612842
6/17/2019,2889.67,0.000931336
6/18/2019,2917.75,0.009670463
6/19/2019,2926.46,0.00298073
6/20/2019,2954.18,0.009427615
6/21/2019,2950.46,-0.001260026
6/24/2019,2945.35,-0.001733435
6/25/2019,2917.38,-0.009541702
6/26/2019,2913.78,-0.001234746
6/27/2019,2924.92,0.003815923
6/28/2019,2941.76,0.005740912
7/1/2019,2964.33,0.007642996
7/2/2019,2973.01,0.00292387
7/3/2019,2995.82,0.007643076
7/4/2019,3755.836709,0.000597164
7/5/2019,2990.41,0.000597164
7/8/2019,2975.95,-0.004847186
7/9/2019,2979.63,0.001235816
7/10/2019,2993.07,0.004500485
7/11/2019,2999.91,0.002282672
7/12/2019,3013.77,0.004609499
7/15/2019,3014.3,0.000175844
7/16/2019,3004.04,-0.003409581
7/17/2019,2984.42,-0.006552626
7/18/2019,2995.11,0.003575536
7/19/2019,2976.61,-0.00619589
7/22/2019,2985.03,0.002824728
7/23/2019,3005.47,0.006824165
7/24/2019,3019.56,0.004677164
7/25/2019,3003.67,-0.005276251
7/26/2019,3025.86,0.007360474
7/29/2019,3020.97,-0.001617377
7/30/2019,3013.18,-0.002581972
7/31/2019,2980.38,-0.01094519
8/1/2019,2953.56,-0.009039587
8/2/2019,2932.05,-0.007309385
8/5/2019,2844.74,-0.030230162
8/6/2019,2881.77,0.012933014
8/7/2019,2883.98,0.000766596
8/8/2019,2938.09,0.018588426
8/9/2019,2918.65,-0.00663853
8/12/2019,2883.75,-0.01202965
8/13/2019,2926.32,0.01465413
8/14/2019,2840.6,-0.029730363
